address,name,size,status,unit,evidence
0x0048D3D0,sse_D3DXVec3Normalize,198,matching,d3dx-sse-vec3-normalize,python3 scripts/compare-library.py d3dx-sse-vec3-normalize --json
0x0048D4A0,sse_D3DXPlaneNormalize,216,matching,d3dx-sse-plane-normalize,python3 scripts/compare-library.py d3dx-sse-plane-normalize --json
0x0048DA50,sse_D3DXVec4Normalize,156,matching,d3dx-sse-vec4-normalize,python3 scripts/compare-library.py d3dx-sse-vec4-normalize --json
0x0048E680,sse_D3DXQuaternionNormalize,156,matching,d3dx-sse-quaternion-normalize,python3 scripts/compare-library.py d3dx-sse-quaternion-normalize --json
0x0048EFB0,sse2_D3DXVec3Normalize,198,matching,d3dx-sse2-vec3-normalize,python3 scripts/compare-library.py d3dx-sse2-vec3-normalize --json
0x0048F080,sse2_D3DXPlaneNormalize,216,matching,d3dx-sse2-plane-normalize,python3 scripts/compare-library.py d3dx-sse2-plane-normalize --json
0x004A43CF,operator delete,5,matching,crt-operator-delete,python3 scripts/compare-library.py crt-operator-delete --json
0x004A48B0,strrchr,45,matching,crt-strrchr,python3 scripts/compare-library.py crt-strrchr --json
0x004A4920,memset,96,matching,crt-memset,python3 scripts/compare-library.py crt-memset --json
0x004A4CC0,strlen,139,matching,crt-strlen,python3 scripts/compare-library.py crt-strlen --json
0x004A5CE0,strncmp,57,matching,crt-strncmp,python3 scripts/compare-library.py crt-strncmp --json
0x004A5BE0,strchr,190,matching,crt-strchr,python3 scripts/compare-library.py crt-strchr --json
0x004A5D20,strcpy,7,matching,crt-strcpy,python3 scripts/compare-library.py crt-strcpy --json
0x004A5D30,strcat,232,matching,crt-strcat,python3 scripts/compare-library.py crt-strcat --json
0x004A3E70,_ftol2,117,matching,crt-ftol2,python3 scripts/compare-library.py crt-ftol2 --json
0x004A48E0,_chkstk,61,matching,crt-chkstk,python3 scripts/compare-library.py crt-chkstk --json
0x004A50C0,_aulldiv,104,matching,crt-aulldiv,python3 scripts/compare-library.py crt-aulldiv --json
0x004A5130,_allmul,52,matching,crt-allmul,python3 scripts/compare-library.py crt-allmul --json
0x004A65CC,_ftol,39,matching,crt-ftol,python3 scripts/compare-library.py crt-ftol --json
0x004A69C0,_aullshr,31,matching,crt-aullshr,python3 scripts/compare-library.py crt-aullshr --json
0x004A423D,_nh_malloc,44,matching,crt-nh-malloc,python3 scripts/compare-library.py crt-nh-malloc --json
0x004A4269,malloc,18,matching,crt-malloc,python3 scripts/compare-library.py crt-malloc --json
0x004A8211,__sbh_heap_init,72,matching,crt-sbh-heap-init,python3 scripts/compare-library.py crt-sbh-heap-init --json
0x004A8259,__sbh_find_block,43,matching,crt-sbh-find-block,python3 scripts/compare-library.py crt-sbh-find-block --json
0x004A8759,__sbh_resize_block,735,matching,crt-sbh-resize-block,python3 scripts/compare-library.py crt-sbh-resize-block --json
0x004A81C0,_heap_init,81,matching,crt-heap-init,python3 scripts/compare-library.py crt-heap-init --json
0x004A8284,__sbh_free_block,792,matching,crt-sbh-free-block,python3 scripts/compare-library.py crt-sbh-free-block --json
0x004A859C,__sbh_alloc_new_region,183,matching,crt-sbh-alloc-new-region,python3 scripts/compare-library.py crt-sbh-alloc-new-region --json
0x004A8653,__sbh_alloc_new_group,262,matching,crt-sbh-alloc-new-group,python3 scripts/compare-library.py crt-sbh-alloc-new-group --json
0x004A8A38,__sbh_alloc_block,764,matching,crt-sbh-alloc-block,python3 scripts/compare-library.py crt-sbh-alloc-block --json
0x004A4419,UnwindNestedFrames,82,matching,crt-unwind-nested-frames,python3 scripts/compare-library.py crt-unwind-nested-frames --json
0x004A446B,__CxxFrameHandler,54,matching,crt-cxx-frame-handler,python3 scripts/compare-library.py crt-cxx-frame-handler --json
0x004A4536,GetRangeOfTrysToCheck,122,matching,crt-get-range-of-trys,python3 scripts/compare-library.py crt-get-range-of-trys --json
0x004A45B0,CreateFrameInfo,40,matching,crt-create-frame-info,python3 scripts/compare-library.py crt-create-frame-info --json
0x004A45D8,IsExceptionObjectToBeDestroyed,33,matching,crt-is-exception-object-destroyed,python3 scripts/compare-library.py crt-is-exception-object-destroyed --json
0x004A45F9,FindAndUnlinkFrame,76,matching,crt-find-unlink-frame,python3 scripts/compare-library.py crt-find-unlink-frame --json
0x004A4645,CallCatchBlock2,81,matching,crt-call-catch-block2,python3 scripts/compare-library.py crt-call-catch-block2 --json
0x004A4696,CallSETranslator,175,matching,crt-call-se-translator,python3 scripts/compare-library.py crt-call-se-translator --json
0x004A4748,_global_unwind2,32,matching,crt-global-unwind2,python3 scripts/compare-library.py crt-global-unwind2 --json
0x004A478A,_local_unwind2,104,matching,crt-local-unwind2,python3 scripts/compare-library.py crt-local-unwind2 --json
0x004A47F2,_abnormal_termination,35,matching,crt-abnormal-termination,python3 scripts/compare-library.py crt-abnormal-termination --json
0x004A4815,_NLG_Notify1,9,matching,crt-nlg-notify1,python3 scripts/compare-library.py crt-nlg-notify1 --json
0x004A481E,_NLG_Notify,24,matching,crt-nlg-notify,python3 scripts/compare-library.py crt-nlg-notify --json
0x004A4838,__EH_prolog,31,matching,crt-eh-prolog,python3 scripts/compare-library.py crt-eh-prolog --json
