name,address,type
th08::MidiTimer::`vftable',0x4b6550,vtable
th08::MidiOutput::`vftable',0x4b6554,vtable
th08::DummyMidiTimer::`vftable',0x4b677c,vtable
th08::g_TextureFormatD3D8Mapping,0x4b8480,global
th08::g_TextureFormatBytesPerPixel,0x4b8498,global
th08::g_TitleCharacterSpriteIndices,0x4b8cd8,global
th08::CSound::`vftable',0x4b96bc,vtable
th08::CStreamingSound::`vftable',0x4b96c0,vtable
th08::CPbgFile::`vftable',0x4b98b4,vtable
th08::IPbgFile::`vftable',0x4b98d8,vtable
th08::g_PbgFileSeekModes,0x4b98f8,global
IID_IDirectSoundNotify,0x4bd610,global
IID_IDirectInput8A,0x4bd6c0,global
IID_IShellLinkA,0x4bd6d0,global
CLSID_ShellLink,0x4bd6e0,global
IPersistFile,0x4bd6f0,global
th08::g_SpellCardNumbersEasy,0x4c6120,global
th08::g_SpellcardNumbersEasy,0x4c6120,global
th08::g_SpellCardNumbersNormal,0x4c61c8,global
th08::g_SpellcardNumbersNormal,0x4c61c8,global
th08::g_SpellCardNumbersHard,0x4c6290,global
th08::g_SpellcardNumbersHard,0x4c6290,global
th08::g_SpellCardNumbersLunatic,0x4c6358,global
th08::g_SpellcardNumbersLunatic,0x4c6358,global
th08::g_SpellCardNumbersExtra,0x4c6420,global
th08::g_SpellcardNumbersExtra,0x4c6420,global
th08::g_SpellCardNumbersAllDifficulties,0x4c6458,global
th08::g_SpellcardNumbersAllDifficulties,0x4c6458,global
th08::g_SpellCardNumbersPerDifficulty,0x4c67d0,global
th08::g_SpellcardNumbersPerDifficulty,0x4c67d0,global
th08::g_SpellCardCountsPerDifficulty,0x4c67e8,global
th08::g_SpellcardCountsPerDifficulty,0x4c67e8,global
th08::g_SpellcardNumbersStage1,0x4c6800,global
th08::g_SpellcardNumbersStage2,0x4c6838,global
th08::g_SpellcardNumbersStage3,0x4c6888,global
th08::g_SpellcardNumbersStage4A,0x4c68e0,global
th08::g_SpellcardNumbersStage4B,0x4c6940,global
th08::g_SpellcardNumbersStage5,0x4c69a0,global
th08::g_SpellcardNumbersStage6A,0x4c69f0,global
th08::g_SpellcardNumbersStage6B,0x4c6a60,global
th08::g_SpellcardNumbersStageExtra,0x4c6b10,global
th08::g_SpellcardNumbersLastWord,0x4c6b48,global
th08::g_LastSpellNumbers,0x4c6b90,global
th08::g_LastSpellCount,0x4c6c3c,global
th08::g_SpellcardNumbersPerStage,0x4c6c40,global
th08::g_SpellcardCountPerStage,0x4c6c68,global
th08::g_EclExInsn,0x4c6cb0,global
th08::g_EffectTemplates,0x4c6d30,global
th08::g_StageAnmFiles,0x4c72f8,global
th08::g_StageStdFiles,0x4c731c,global
g_StageEnemyAnms,0x4c7364,global
th08::g_EffectAnms,0x4c7480,global
g_TimeRequirementParams,0x4c77f0,global
g_RankParams,0x4c7880,global
th08::g_ControllerMapping,0x4c78c8,global
th08::g_DecryptParams,0x4c78e0,global
